,F1: Superficial,F2/3: Stroma_PPARG+,F2: Universal,F3: FRC-like,F4: DP_HHIP+,F4: DS_DPEP1+,F4: TNN+COCH+,F5: NGFR+,F5: RAMP1+,F6: Inflammatory myofibroblast,F6: Myofibroblast,F7: Fascia-like myofibroblast,F_Fascia
6507,RASSF8-AS1,MYMX,ATG10,AL450468.1,PRKAA1,LAMP2,ANAPC10,SNRNP40,AL162725.2,MFSD1,XRCC3,CDS2,C1QTNF6
6508,PEX11B,VTN,AP000320.1,ZNF222,GHSR,MYMX,SLC10A3,AL359878.2,DMRT1,WDR66,LINC01926,AC005920.3,LINC02471
6509,RFXAP,AC090607.1,LINC01180,MMP7,AC137810.1,FANCM,AJM1,AL137246.1,PZP,WDR12,IGF1R,AC079340.1,SNTG1
6510,ZCWPW1,NOX1,AC111198.1,AC136475.9,TMEM161B-AS1,AC092567.1,AL121827.1,AP002856.4,AL450998.3,BHLHE22,CCDC196,SLC12A3,TCHP
6511,RASL10B,AC100788.1,LRIT2,NTS,HCAR2,AC010336.1,TNFRSF14-AS1,AC009686.1,SMIM5,AL049869.3,LINC02263,AC023389.1,UNKL
6512,UBXN7,LINC01864,PROKR2,AC092171.4,TRAF6,CLN5,RNGTT,AL137786.1,ANKRD13D,COMMD7,TNIP3,AL136439.1,ZBTB14
6513,PLEKHG2,AF127577.3,AL031056.2,AC023347.1,LINC01299,CKMT2-AS1,AP001363.2,AL139020.1,EWSAT1,SPP1,VWCE,MCF2L-AS1,AL049840.2
6514,AC023509.3,AC017100.1,AL135818.2,DENR,TRIQK,MND1,AL359915.1,HESX1,ZNF792,MIA,C7orf69,LINC02136,RFFL
6515,RPA4,LINC00488,OOSP2,GPR63,MRPL49,BARX1,PRIMA1,ARMT1,ZSCAN32,ADAM32,LINC02196,AP003174.1,TMEM143
6516,AC034236.2,FARP1-AS1,ZNF684,AP002770.1,AL391244.2,USF2,GABRG3-AS1,CBWD3,AK9,CDC16,AC009518.1,AC139149.1,AL512343.2
6517,DDX19A,AC091152.2,AC011462.2,ZBTB6,CCDC168,PEX6,RGPD1,OR52A1,STEAP3-AS1,FGD3,AC068987.1,ACAD9,C10orf105
6518,AC004771.1,CHI3L1,AL117335.1,AL031432.1,CLP1,MLANA,AL391422.3,AC233723.1,PIPOX,TMEM175,CD52,LINC02388,WIPI2
6519,GPR68,KLHL41,REG4,TUBB3,AL162274.2,NPRL2,AC107871.2,AC069224.1,LINC01620,PSMD10,AL022476.1,ZNF341-AS1,UBR4
6520,TNIP2,CCDC190,AC010420.1,AL358334.3,AC032044.1,RFPL1S,AC079035.1,BX324167.1,PCP4,POLA2,AL451047.1,GAREM2,SLC25A42
6521,SARS2,HNRNPH2,AL139275.2,FANCG,AP001628.2,IFIT5,TADA2A,SEMA3F-AS1,LINC01509,NFKBIB,INTS7,AC079921.1,AL024474.2
6522,LRRC66,HPN,CST5,TPD52L3,EPN2,TSGA10,AL683813.1,LINC01649,MKNK1-AS1,EYA1,POLR3A,CEP41,TUT1
6523,AL138689.2,PHOSPHO2,POMT2,SH3RF1,AL358472.2,UTP20,AL353804.1,AC107208.1,LINC02505,AP1S3,AC009145.3,AL606469.1,NPIPB5
6524,CEPT1,AC068234.3,OR1M1,TATDN3,PPAT,AC009812.4,LINC00379,AL392046.1,TIMD4,ZGRF1,FO393401.1,AC110015.1,AL136985.3
6525,GTF2H1,HDHD5,C1orf74,FCGR1B,AC079848.1,ORC2,CARD14,PWP2,COL4A5,TCTEX1D1,ZNF624,AC040173.1,BTBD3
6526,LINC02432,MGLL,AC009117.2,AC120036.4,DXO,C7orf31,MCM8-AS1,LINC01793,INSC,AC124276.2,AC068875.1,CGB8,ARL13A
6527,AC138932.5,KMT5B,SLC35B3,CFHR3,LY6G6C,TTTY10,AC093752.2,CASC17,AC005534.1,SLC25A26,AC011374.1,PTCSC3,SLC35E1
6528,ADRA2C,AC008537.2,AC020551.1,AC002070.1,AL157888.1,AL731571.1,DCT,DSCAS,SIGLEC15,LNX1,AC010145.1,EAF1-AS1,AL031767.1
6529,AC090680.1,HADH,LINC01794,C19orf12,WDR59,AC019257.1,AL109917.1,CRYGB,MSRB3,RFX5,PDLIM4,CTRB1,RXYLT1
6530,SMIM8,ZNF681,SLC6A14,TIFAB,DOCK1,GPR89A,AP001007.1,BIK,AC233280.1,C2orf42,UCN,AC079089.1,STAG3
6531,ARL5A,CSNK1G2-AS1,AL591770.1,RIT2,TCF15,AC104134.1,UPB1,C1orf229,MS4A15,PDCD2,AC073288.2,AL512380.2,LINC00671
6532,SAMD4B,AC009812.3,AVL9,FXYD3,SERPINA1,LY6G5B,NEK11,LINC01595,DNAJC11,THEM4,CARS-AS1,AL118556.1,MEI1
6533,MFN2,ZNF711,AC104823.1,AL359555.2,NAB1,MRPS5,AC022509.4,AC009264.1,AC104984.2,PF4,AC005520.5,RAD9B,AL731567.1
6534,ERICH2,ZNF571-AS1,AC015911.9,AC008033.3,ASB9,ENC1,MROH8,ZNF138,AC008115.2,AC004816.2,ERCC6L,LRRN4,AC023389.1
6535,SDE2,AL445183.1,AC091027.2,PHF7,AC112178.1,MRPS36,ZNF404,AC018695.4,SLC25A17,CDRT1,PTX3,DGCR8,TTC8
6536,LINC01391,AL023581.2,SAMD7,INCA1,AC007038.1,TMOD2,TTTY10,AC073359.1,C12orf42,CCT4,ATP1B3-AS1,KIF20A,AC009975.1
6537,ATOH7,AC009630.1,HSF4,CCDC113,AL157756.1,KRBOX1,NOL4,UNC5A,AL359397.2,KRTCAP2,ACP2,AC004257.1,ZNF561
6538,KIF27,FOXP1,AC084706.1,PAXBP1,VIM-AS1,AC007679.1,AC174065.1,SMG8,AC083949.1,ZNF746,AL606516.1,AL117190.2,TSNARE1
6539,POMK,SALRNA2,ZNF480,CPOX,AC092171.1,TBC1D5,COPS2,RIOX1,PLEKHB1,AC105094.2,ITK,AL031985.4,WASHC2A
6540,ZNF852,LIME1,AC008687.2,ARHGEF17,AC009812.3,UCKL1-AS1,AP003392.5,C6orf141,TBC1D8-AS1,TRIM9,ABHD12,MRPL58,NBPF20
6541,AFG3L2,TRIM60,AC136628.1,MPZ,RNF220,AL022238.2,CLCA4,AL161646.1,AL591368.1,FAM122C,AC006213.3,PCDHGA1,AC008686.1
6542,ZNF70,VDAC2,MED22,SAMD1,AC083836.1,AC089984.1,PRIMPOL,LINC01716,AL138694.1,NPAT,LAMP5-AS1,CYSTM1,LPAR2
6543,NDUFB3,LINC01033,ERH,NEIL2,ALDH7A1,AC015727.1,AC004921.1,AL050403.2,APOH,ZSCAN9,VPS53,HERPUD2,MYO1H
6544,TTN-AS1,AL391095.3,AC002401.3,SERPINA6,SEC24B,KRT86,AL592435.1,AL133367.1,AC004264.1,RNLS,AC018362.2,ECE2,AC087190.1
6545,CREM,MCM3,ZNF311,ANP32A,PPIL2,AL928654.1,LINC01859,LINC01180,ZBTB3,AC114763.1,RNF128,LCN1,CCL27
6546,ASIC3,GBX1,IGHV3-48,IGLV1-40,KIF3B,FOXC1,LRP2,AC010609.1,MLF1,TTC23L,C3orf22,TARS2,POLD3
6547,AC008608.2,TAS2R31,LPAR1,HAUS5,SLC6A12,MRPL18,AL646090.1,LINC00836,PIK3R4,MEI1,ANGPTL3,LINC02012,ZNF418
6548,NDUFB2,LINC01564,LINC02042,LINC02469,HIST1H2BO,GPR75,AC012615.2,AC079145.1,MDC1-AS1,GRIN2D,AC005387.1,CTDNEP1,AC073349.1
6549,AC009097.4,AC023200.1,GOLGA8S,SOX17,IFI30,ANAPC1,FBXO40,AC004069.1,AL121885.2,COPS9,AC015712.4,AC117944.1,FEZ2
6550,PPWD1,LINC01970,LINC00598,MRPS30,AC026979.2,BICRAL,C9orf170,KRT32,OR4N2,SREBF1,AC016813.1,BOK,ZNF214
6551,AP000704.1,TIMM23,ANO2,SULT1A4,PENK,PALM,AC074050.4,AC106820.3,AC109492.1,SLC35G2,AL133370.1,AC091132.2,IDE
6552,IFIT2,WRAP53,SPIN2B,AC064805.1,AC008440.1,PLCG1,TNIP3,AL354712.1,AC011507.1,CLDN7,PACSIN3,PEX5L,RPGRIP1
6553,LINC01285,AC108673.2,AL139124.1,ZNF516,LINC02265,CCNA2,SLC22A18,AL035448.1,TRMT61B,LRR1,MIIP,ZSCAN16,SLC4A5
6554,Z86062.2,AP000786.1,ATP6V0A4,ZNF347,SPC25,EVC2,GTF2H2,AC055855.1,COL11A2,HNRNPM,TALDO1,DIAPH3-AS2,AC079907.1
6555,SCAPER,ODF3L2,AC015468.3,AC019257.2,SELENOV,ITGA5,CD8A,MANSC1,SLC39A2,LINC02017,AC105031.2,BRDT,EXD3
6556,PSMG3-AS1,ZSCAN29,TRAJ3,NPR2,TMEM167B,SLC16A1,CHRNA6,AC025244.1,SETD6,TEN1,HM13-AS1,AL022329.1,SERINC1
6557,WWTR1-AS1,LINC02227,TMC1,AC107079.1,DUSP16,GTPBP2,AC107294.3,AC009021.1,NT5C1B,GDAP2,LINC02412,KCNIP4,FAHD2A
6558,AL356489.2,AIP,AC083809.1,FUT8-AS1,DDIT4,CCDC173,NPHS2,AL139350.1,TP73,CTDSPL,GRB14,MMD2,INF2
6559,PTCD3,AP000919.2,RAB41,LINC02408,AC008125.1,RGS1,ZNF202,ZNF416,AP003059.1,TOP3B,AL732314.6,MRPS25,MARCH10
6560,PAXIP1,GALM,AL590483.2,NUMA1,AC004687.1,ADAM32,BHLHB9,AC245519.1,SGPL1,MDC1,FOXL2NB,AC096677.1,CLCN6
6561,OSCP1,AL109910.2,CCDC187,RHOV,SLC1A5,AL136084.3,FRAT1,BTN2A2,AC006042.2,LRP8,DGAT2L6,ZNF92,RNF169
6562,PIAS4,TPRG1L,AC021382.1,AL121928.1,TTLL2,HCN2,AC005498.3,AC008438.2,DLK2,AL139807.1,GATA6-AS1,LIN28B-AS1,TPRX1
6563,AC093484.3,ALDH16A1,AC079779.1,TMEM175,AC004039.1,SLC22A10,ZNRD1,ELDR,AL391335.1,MMGT1,ERMP1,NOL7,JADE2
6564,UNC45A,YTHDC2,AC131254.3,AC018682.2,AC036103.1,AC018638.6,LINC01719,AC006116.4,ZNF548,FAM174B,AP2A1,GPR176,ZCWPW2
6565,AC106795.2,PTPRO,AL162426.1,LINC00294,ABCG5,C8orf76,LINC00852,FAM83B,PDCL2,PCMTD2,AC016766.1,ERICH1,TSC22D3
6566,SEMA6C,AL136988.1,NMRAL1,CYB5RL,ISL2,HACL1,PVRIG,AC005616.1,ZNF134,EREG,AC104350.1,HDAC5,SLX4IP
6567,PLEKHH1,SLC39A12,AC108517.1,AL161668.3,HMX1,CLASP1,ZNF548,PAPOLA,SEZ6L,AC006460.1,PINK1-AS,C19orf73,CSK
6568,CEP70,AC007036.1,AL732372.1,SLC1A5,PDE4D,SYTL4,AC107294.2,LINC01947,LINC02302,AC073529.1,LINC00850,AC016700.3,NAGS
6569,OR1N2,AL157395.1,TENT5D,AC008734.1,CCDC150,PITX2,FAM120B,AC004593.3,ENDOV,FARP2,KDM4D,DNAH5,GP1BB
6570,THYN1,NLRP2,TCF24,AC022816.1,EAPP,RBMS3-AS1,TTC24,VSTM1,CYP7A1,TMEM26-AS1,SMTNL2,ST20-AS1,RAPGEF4
6571,AL121721.1,AL592211.1,GNAS-AS1,AC019193.2,AL138831.2,NSL1,RHOXF1-AS1,CELA3A,LINC02102,TNFRSF18,UBXN4,AC104031.1,CREB3L4
6572,NDUFA5,ADRB3,AC004943.3,ZNF337-AS1,SIAH3,AC087516.1,EFCAB14-AS1,FAM66C,NEBL-AS1,AL627171.2,AC245884.1,UHRF1BP1,ARFIP1
6573,C12orf49,CUZD1,CYP2C8,AP003419.3,LMX1B,ZNF672,TAS2R31,BUD13,AL020993.1,GXYLT1,ALOX12B,MAMSTR,AL049637.1
6574,ACSL5,CD28,AC092941.1,KAZN,AC125807.2,SLC30A5,AC010240.3,AL513165.1,ZNF443,LRRC8E,AC012613.1,SLC25A34-AS1,ING5
6575,GSTM1,AC032044.1,TSGA13,AC015921.1,AC104590.1,SMIM26,VSIG10,LINC02250,TMIGD3,CLPX,ZPLD1,ASXL2,RPAP2
6576,ERAL1,MARCH7,AC015983.2,ATG9B,AC138150.1,C16orf74,AL513365.2,AC007255.1,AC096759.1,CCDC69,AP001978.1,AL445584.2,ZNF713
6577,IGIP,DMC1,TMEM214,TYRP1,LINC01842,SLC2A14,KRT15,AC004817.4,AC097487.1,RPL7L1,AL161908.1,PADI1,PCDHB10
6578,AL035427.1,AL157838.1,GAGE12J,LINC00567,PWWP2B,C1QTNF4,AL359551.1,AF124730.1,TBC1D9,MARK2,TMEM175,CREB3L3,UBA2
6579,EPHB4,LINC01752,OR5H14,AC087473.1,TDRD12,LARP4B,AC090993.1,IL1B,INHBE,C16orf70,AC108067.1,OCEL1,AC006449.3
6580,AF186192.1,ADGRL2,AC115220.1,NOL7,CCDC60,AC245140.2,AC078962.3,AP003027.1,AC090826.1,ZPLD1,ANKLE2,RALGAPB,TTLL7
6581,IDH3A,ZNF548,LRRC2-AS1,DPH7,AP001267.2,ONECUT3,AC026458.2,AC146944.4,AC011287.2,DPYSL4,ACOT8,AC084026.1,AC009097.1
6582,YTHDC1,AL109615.2,PAQR9-AS1,FAM161A,NECAB3,TRIM36,SLC10A7,LINC01549,KCNA1,GNA15,GNLY,AL078581.3,AC018467.1
6583,PHRF1,NUP214,LINC00502,AC010198.1,CEP192,LINC00310,AC004241.1,C1orf146,RNFT2,METTL1,AC020703.1,DCK,NPPA
6584,PIH1D2,AL031670.1,HLA-DQB1-AS1,AC034245.1,MEIS3,NSMF,EFCAB14,LINC01324,PNRC1,RRP9,PANK2,SCG3,MCRS1
6585,GPR63,ZNF28,AC007652.1,AK8,GSTM1,AC096564.1,LINC00865,DNAAF4,XPO7,CDK5RAP3,MPC2,DHX16,LINC02320
6586,ISY1,AC055811.3,AC053503.4,AGER,RAD21-AS1,NAA40,AC114730.2,LINC02144,AL033527.4,CRTAP,DEPTOR,C17orf100,AL034380.1
6587,PRKDC,AC008781.2,BRCC3,AC025442.1,HACD4,PCDHGB7,KMT5C,AC005609.1,C1orf174,DBF4,SIGLEC6,RNF8,AL031666.1
6588,MYL7,BLMH,AL133232.1,AC011939.3,EID3,ZNF682,PPM1H,SPATA22,TSC1,CCDC43,SLAMF6,AC113414.1,FUNDC1
6589,AP000785.1,ITPK1,AL354710.2,AL590369.1,SPATS2L,OPA1,DVL2,AC009511.2,LINC02018,ZNF23,ACRV1,AC024560.3,AC018742.1
6590,RSBN1,AC136424.1,LINC02436,AL355816.1,SIK1B,MAFG-DT,TTLL9,LINC01378,CYP4A22,HSPBP1,AC007922.3,LINC01440,AC080013.4
6591,RNF7,ARHGAP45,LINC01720,ZNF169,SPATA9,AP001011.1,DDX59,LPCAT2,GCNT3,CDC6,DTL,CELSR3,XPO5
6592,OXER1,AC079336.5,CHAC2,LRRC25,USP26,CPN2,AC012640.1,MMACHC,AC097532.2,ANKRA2,HIF1A-AS1,C18orf21,AC008761.1
6593,AC016727.1,MMP24OS,SLCO1B1,AL031676.1,KDM3B,GCDH,AC083798.2,AC098657.2,CLYBL,BSDC1,KCNH7,LINC00502,CEP104
6594,JAGN1,AC099518.6,AC008641.1,KTN1,EZH1,TOX3,FOXN3-AS2,FO681492.1,RBBP4,CACNA1A,AC116552.1,LINC01033,CHEK2
6595,AC027702.1,AAMDC,LINC02387,KCNU1,AL731563.3,SRSF10,DPPA2,CST4,AL589990.1,TESK1,ZNF747,MRM2,GVQW2
6596,PDE6D,SLC36A4,AC126365.1,AL121902.1,RNF4,ZNF827,ZNF662,AL031775.2,POLH,LRP3,GLYR1,MAJIN,ZNF641
6597,GEMIN5,SLC5A11,AC068944.1,AC129492.4,TCP10L,RAD51D,GPX2,RIT2,FGF17,NSDHL,AL137071.1,AC100861.2,ZNF250
6598,ZNF214,GPRIN3,FCRLA,AC073072.1,SYT15,FAM122B,KAT2A,AP003500.1,AC109460.2,FAM78A,KIF1BP,DMBT1,PLD2
6599,AC245014.1,WDR76,NLRP4,LCK,TRIP12,LINC01415,AC090971.1,AC064805.2,LINC01992,SLC27A6,NCK2,AC079907.1,CHFR
6600,C12orf10,ANKK1,LINC00492,AC026367.1,AC025287.4,HSPA12B,AC104134.1,AC018953.1,AL139300.2,PAPOLG,FAM216A,IVNS1ABP,PLEKHH1
6601,MYOM3,AP000542.2,AC006111.3,LINC02414,GPR89A,NR1I3,COL11A2,USP29,AL096799.1,MYLK-AS1,CRYGS,NR5A2,PIGF
6602,RIBC1,AC105206.2,NPIPA8,NECTIN1,AC010680.2,FZD5,KRTAP8-1,LINC01597,NVL,NADSYN1,LINC01356,REXO2,RNASEL
6603,PPP6C,KRT25,ITLN2,AC025437.1,LINC02449,NSUN4,AC093248.1,AC009495.1,AL845331.2,TMSB15B-AS1,GJB7,AC124016.1,AC079610.1
6604,AP000844.1,PHLDB3,UNC93A,AC099850.1,KPNA1,LINC01970,OR2B6,CIB4,ZNF362,CACFD1,ZNF236-DT,DGKK,CDK2AP1
6605,LRRC24,CDH12,AL035443.1,AC008569.1,AL354872.2,TM7SF2,ZNF268,APTX,LINC02466,HIST2H3PS2,AC004231.3,C2-AS1,MBTD1
6606,ABCF1,AC226101.1,AC022973.3,AL138995.1,SNHG21,AC048341.1,AC091982.3,LINC01525,IQCN,CNOT7,FUT8-AS1,CHRNB3,AC090971.2
6607,BRD1,AC126755.2,AL592309.2,CCDC127,PSORS1C1,DNAJC10,ZNF276,AC090398.1,AL354892.1,GAB3,AC003005.2,LETM1,FBXL3
6608,PPIAL4G,NPIPA3,DNASE2B,AP001062.2,AL445307.1,MNAT1,AC079630.1,SFTPB,SNX14,PTPN6,ADRB3,ATP2C2,NEK9
6609,AL355385.1,AC096564.2,ALKBH3-AS1,RPP21,AC003986.1,SMDT1,KCNIP4-IT1,COL11A2,AC023355.1,PRDM15,AL354920.1,LINC02471,SDHAF3
6610,USP4,C6orf47,AC012506.4,NAGS,MIR194-2HG,CCDC97,AC090360.1,AC120498.4,DHRS7C,AL023495.1,CLPP,AC019068.1,SFR1
6611,ANKRD1,AC073657.1,KNCN,AC087257.1,WFIKKN1,NDUFB5,ZNF839,PNLIPRP1,AL162464.2,MAGEF1,RRAS2,C3orf20,NPIPB9
6612,PIGM,LINC02503,AC245164.1,SASS6,PCDHA12,LIG4,AP001372.1,AC117386.1,WDR88,CCT8,AL391117.1,NUP50-DT,MYNN
6613,SPATA22,ZNF578,LINC01520,AC078955.1,ADAM22,CHRAC1,AC023137.1,SERPINB5,RIT2,SPEF2,AC120498.8,PPP2R2C,AC013468.1
6614,TSGA10,CABP4,AL157882.1,RHOBTB2,FAM89B,THAP9,C9orf163,IGLCOR22-1,FGD5,PABPN1,Z99289.1,LINC01917,AP001180.4
6615,FBXL4,LINC02588,MIR122HG,AL035078.1,CTBP1-AS,RNF5,AL158211.1,AL670729.2,ATG16L1,CAPN7,AC135048.3,TTK,AL392023.2
6616,AL591926.2,SLC2A12,AC008567.2,DMGDH,AL138963.1,AL138689.2,TTC12,AL139317.1,RAD51C,CEP57,AC130456.5,INTS9,PRKN
6617,AL121917.1,FGF20,AC046195.2,RAET1L,NOX4,UTP15,AC092192.1,AC087273.1,ZIC4,SCAMP2,ZNF793,AC067930.3,BPHL
6618,AL136084.2,MYH3,THAP11,GSTA2,AL359636.1,DHX34,DYNC1LI2,PRICKLE4,TCEAL8,AC025180.1,FO681492.1,HAVCR2,UBE2QL1
6619,RAB2A,FAR2,AC022166.2,CCDC22,NAT9,HIST1H4E,RWDD3,AL132642.1,AC024361.3,C16orf58,ZSCAN20,LINC01470,NSD1
6620,HOOK2,PIP5K1A,DLG2,LINC02276,GHRLOS,DLX1,AC104116.1,AP001207.3,CLDN5,WDR77,IL17RB,FKBP6,PLGLB1
6621,AC009812.1,HTRA4,AC018692.1,ADORA2B,KCNK13,RASSF4,AC004854.2,NXPH2,DTX2,LINC01684,AL445493.3,PYY,MTHFSD
6622,FAM120C,AC025171.4,AC087498.1,AL390778.2,HM13-AS1,CADM4,AL357054.4,DCST1,AC125603.1,AC242426.2,LINC01919,CR1L,HIST3H2BB
6623,AK9,PIWIL1,TRAJ5,ZNF268,TIAF1,CCNC,POLR2M,CCDC58,KIAA0825,RAP2C-AS1,XPO1,SHBG,AC106881.1
6624,LINC01444,HCG9,OR2A25,LINC02011,DUSP14,CBWD2,COQ6,SMARCA1,AC004817.3,ANKDD1A,LINC00452,SCAMP1,AVP
6625,ITFG2-AS1,SLAMF7,AC002470.1,NUFIP1,RAB3GAP1,MERTK,ADAMTSL4,AC128709.2,LINC01772,PRPF4,AC124014.1,AC125611.3,CDC37
6626,ADGRL3,CREBBP,AC243967.3,SZT2,AC010761.2,CTNNBIP1,AP5M1,LINC02474,LINC00461,MRPL18,GNRHR,KCNK9,ASH1L
6627,RBM26,AC245884.10,RRH,AL162726.1,ALG10,THUMPD3,LINC01676,AC103719.1,MPIG6B,PHF20,CMC4,EPB42,ULK3
6628,RBM42,AL132800.1,AC025034.1,TRBV7-3,AC012073.1,RAB22A,STK36,AL132780.1,PTPRR,HSF1,DUPD1,AGMAT,ASAH2B
6629,AP001107.3,HPCA,AL136528.2,AL049836.2,ZFP28,NEK3,CAVIN4,KCNK12,AL353753.1,SCAF11,AC009320.1,LINC02176,AC034102.5
6630,LINC02099,TMPPE,AP000527.1,TCTN1,AC133919.1,CEBPB-AS1,CCDC117,FGF23,NSUN4,DEF8,TMPRSS15,PLEKHB2,MYT1
6631,SLC35F6,RAD21L1,LINC00348,CRYZL1,KLHL17,ABRAXAS2,AC073569.1,AC007342.4,NYNRIN,UPF1,AC117473.1,PROB1,DCLRE1C
6632,AL118556.1,AC100793.3,AC004837.3,P2RX2,SLC22A31,ZNF594,ZNF229,AL158198.1,ZNF473,ZNRD1,AL691420.1,LPAR5,NEXN-AS1
6633,AC025181.2,AC000032.1,TM4SF19,PAPOLB,SMAD1-AS2,IFIT3,AC009987.1,SPATS1,TMPRSS7,PPP1R35,LINC00858,AC007513.1,MAB21L1
6634,SUPT7L,TM2D3,C10orf120,AL160272.1,IRS4,C16orf86,LRRC10B,OR8J3,KCTD15,HACE1,CST2,FBP2,ZSWIM5
6635,LINC00240,PARD6B,MAGEA9B,BIRC7,PLEKHA5,PMM2,FAM160A1-DT,AC021242.2,OR9Q1,ALAD,AC084125.4,LINC01692,FITM2
6636,LINC01812,PAQR9-AS1,AL132642.1,E2F4,CCDC93,ESYT3,FCN3,PLSCR5,LINC00662,AC240274.1,TRRAP,MTHFD2,AC006942.1
6637,HSDL1,AC233266.2,AC083906.3,LINC01103,VPS39,OMA1,MADD,C11orf49,CFAP97D2,C2orf74,IL17B,BIN2,COQ8B
6638,CHCHD7,LINC02344,AMHR2,NAALADL2,HTR3B,SLC12A2,AC145212.1,OIT3,HLA-DQA1,AC108134.2,ABCA13,SCO1,AC025181.2
6639,ETV2,AC121247.1,AL096828.3,RECQL5,AL133284.1,AC011997.1,AL928970.1,LINC00508,PDCD7,AC112715.1,ZBTB14,MPO,SULT2B1
6640,AC016831.6,AC023355.1,RRN3,AC011825.4,AL031663.2,MAP7D2,AC126755.2,SLC18A1,ATP13A2,EXOSC3,ALG2,C1orf195,PGGT1B
6641,AP005436.3,CEP85L,AC006076.1,HIGD2B,KCNK7,KRT15,AC111198.1,ZNF425,ZNF16,SLCO1C1,FCER1A,LINC01722,AC027307.2
6642,MORF4L2-AS1,PCMTD2,AL356387.1,MSL3,STIM2,AC004943.2,ZFYVE28,MYO5C,SIDT1,HBS1L,AC096677.1,ZPLD1,VSTM2B
6643,ZNF215,AC009061.1,KC877392.1,PTPRK,AC010319.3,AL512274.1,AL031666.2,OSTM1,AC104051.2,LINC02062,AL157931.1,AC026785.3,DNAAF5
6644,POMZP3,KCNRG,AC244517.9,AF196972.1,ENDOU,EPPK1,AL162311.3,LINC01510,USP53,CACNB3,ZNF771,AGPAT2,CHP1
6645,MRPL40,AC012368.2,AL354714.1,ELOVL2-AS1,AL109741.1,HIF1AN,TMX2,GNG2,KRT27,RANBP3,AC007192.2,MMP17,OSBPL6
6646,LINC01879,AC027312.1,AC004835.1,LINC01609,KATNA1,POLR1C,TNFRSF1B,LINC02119,PDZD7,ZNF546,IGFL4,PTAFR,RAB8A
6647,DNAH11,MT1B,AC005392.3,AC015712.2,FGF18,LINC00960,MAD1L1,AQR,ADRA2B,ERMARD,NTF3,BCL2L2-PABPN1,KCNK6
6648,RPL29,ERAP2,AC005614.1,AF131216.4,AC018557.2,DVL1,CGN,PLD5,LINC01353,PNN,LCP1,LINC02071,AC100801.1
6649,LINC02021,LINC02278,AL136090.1,ZNF10,AP002812.5,WDR78,LINC00885,AC131182.1,VSTM1,PLEK2,AP2A2,EIF2AK4,AC015726.2
6650,PDCD1LG2,AGTR2,C15orf54,RBM38,AC005696.4,DNAAF5,ZNF529-AS1,RTN4IP1,IL11,AEBP2,SSU72,FAM83F,PAPSS1
6651,BPHL,PRDM12,AC090772.3,GPIHBP1,PDE5A,PPP6C,AL139286.2,GPX5,NPIPB13,AC080023.1,PDZRN3-AS1,AP000866.2,AC009974.1
6652,ZFP92,NUDT19,RBM42,AC073176.2,BTF3L4,ZNF337,AC092343.1,LCMT2,LINC01034,SUMO2,NXPH4,DOLK,GRK6
6653,TMEM216,LINC02449,TMEM18,SAMD12,NPIPB7,U2AF1,AC011374.2,AC096588.1,GYS2,NSUN4,ICOS,ID3,ARHGAP9
6654,AC027682.2,ANKRD45,AL160411.1,CBR1,ELP4,AC010207.1,CDK11B,PLA2G4D,AC139718.2,ATF7IP2,AL354754.1,SH2D4B,DDO
6655,KCNT2,LINC02464,NLRP2B,NAA25,HPX,CNKSR1,ZNF461,PRB1,IQUB,ARHGEF6,AC024361.3,DUSP8,MEF2B
6656,ARL8A,AC009264.1,PSG6,CASC6,PIP4P1,CLUAP1,LINC00638,LILRB3,HOXA3,SIX5,LINC00558,KRBA1,AL162377.1
6657,RCBTB1,TNNT1,LINC01356,AC095350.1,UNC13D,AKAP7,AC013644.1,AP1M2,LINC01919,DCAF6,GIMAP8,KCNJ4,NAXD
6658,AP001476.2,C10orf55,AP003025.2,AC006252.1,SLC6A16,ZFYVE9,RNF183,AC012574.2,AC009095.1,RCAN1,AC073073.2,LINC02493,CARD19
6659,LRFN1,BEND2,AC105094.1,ARMC4,NXPH1,ZNF483,ICE2,ZMYM2,NUP210,LACTB2,MYPOP,OR4D10,SEM1
6660,ESPNL,MEGF11,PAGE5,TRMT1L,AC136475.4,LINC00670,ZNF607,TRIM6,SNRNP48,TPRN,AC079070.1,LINC02275,RAPGEFL1
6661,YWHAB,AL359555.2,S100G,LINC02198,RRS1,SMCR8,PCBD2,AC027288.1,KAT14,IPO8,AC113386.1,TMEM211,LINC01715
6662,CTF1,AL391834.1,AC244035.1,AC007370.2,ATP1B3-AS1,CCDC57,TUNAR,LINC02243,GPR78,RPS6KB1,AC134772.1,AC021678.2,VPS41
6663,LTV1,FNDC9,LINC01710,AC005280.2,AC138304.1,FSBP,AC019163.1,SMYD1,AP005131.5,SPATA5L1,AC018410.2,AC091153.2,AP001453.1
6664,RPRD1B,LAIR1,MCPH1-AS1,AL358876.2,AL021392.1,GTSE1,SEMA4A,REG1B,AGAP3,SLC8B1,ZNF7,AP001816.1,RREB1
6665,AL133492.1,AC104134.1,AF235103.1,NKILA,AC103691.1,KIFC2,NT5C,AL109807.1,FP325318.1,SPAST,MRVI1-AS1,AC103794.1,AC091057.2
6666,BSDC1,WNT3A,AC006026.3,AL121992.1,AC048344.1,SFXN2,AC103987.2,AC006042.2,ARMH2,NCL,FDX2,SIGLEC9,KIAA1522
