,F1: Superficial,F2/3: Stroma_PPARG+,F2: Universal,F3: FRC-like,F4: DP_HHIP+,F4: DS_DPEP1+,F4: TNN+COCH+,F5: NGFR+,F5: RAMP1+,F6: Inflammatory myofibroblast,F6: Myofibroblast,F7: Fascia-like myofibroblast,F_Fascia
40,DUSP4,RARRES2,SH3BGRL3,BIRC3,PHLDA1,SFRP1,ARHGAP15,FLRT2,SCN7A,SPATS2L,PPIB,LRRC17,PDLIM3
41,PAM,PNRC1,QPCT,IRF8,CCDC3,THSD4,SLITRK6,PTCH2,FGL2,MYH9,RASAL2,CASC15,NBL1
42,PTK7,DDX21,TNXB,IL33,RPL22,KLF5,EDNRA,SBSPON,ALX4,FRMD4A,GPC6,THBS4,PTGIS
43,CCBE1,LSP1,AC105402.3,APOC1,AL450332.1,ZFP36L2,FMOD,IGFBP6,SLIT2,MME,DPT,CRABP2,S100A4
44,TNFRSF19,SOD2,ELN,MT-CO2,TNN,STMN1,PTGER3,PDZRN4,RELN,RAB31,KIAA1217,TUBB2B,GABARAPL2
45,LSAMP,CXCL2,NOVA1,MT-CO3,PRLR,TCF4,NBEA,RPL10,LAMC3,RAB13,COL11A1,CNN3,PIEZO2
46,OLFM2,FGL2,ANGPTL5,TNFAIP3,TWIST1,AMD1,ZBTB20,IFI27,PTPN13,HLA-B,CERCAM,NBL1,PSD3
47,ARRDC3,MYC,CHRDL1,UGCG,COL23A1,LMO4,ENHO,MATN2,LSP1,SULF1,MMP23B,TRIO,PLXDC2
48,F10,GFPT2,TGFBR3,FLT3LG,AMD1,MFAP5,LTBP4,GSN,AADACL2-AS1,CALD1,SMYD3,TNFRSF12A,ADIRF
49,LAMC3,CTSL,FAM180B,TNFSF10,ANKRD50,RUNX1T1,PCSK1N,DAAM1,EGR2,GGT5,PLXDC2,MDK,CILP
50,NPTX2,KDM6B,MTRNR2L8,SERPING1,EIF4B,CDH11,SLC22A16,NLGN1,GPM6B,CACNA1C,PPP1R14B,RHOC,CDO1
